t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,futureOI_sma_meandev,futureOI_upper,futureOI_lower,longperm_sma_meandev,longperm_upper,longperm_lower,perpCVD_sma_meandev,perpCVD_upper,perpCVD_lower
2021-02-25,47209.54406873051,0.0001833711624747,7991225716.467655,15940395174.487778,22821746.18545078,19302714.91685545,17477979323.590424,,,5460159.228051328,,,-553888.3187725475,,
2021-02-26,46243.95205410501,0.0002118348522293,7477418592.06743,15086875254.54071,22635268.232886493,25826076.175172873,16910606299.24319,,,4105585.471732314,,,-4057294.771800769,,
2021-02-27,46319.69639361085,6.97497454655e-05,7595992032.407034,15182806359.503077,10210422.01071786,16605730.26131512,16441091315.322649,,,3180158.315147747,,,-4058628.899431516,,
2021-02-28,45119.12569768188,0.000155379708002,7696163062.796803,15146474662.588114,21145098.72580834,25644478.44318298,15869096173.048029,,,1737087.1059786372,,,-4085807.0973098227,,
2021-03-01,49768.16035012147,9.92623313121e-05,8354478872.12028,15487195665.7217,47443397.290138654,19076209.04080152,15574833123.193758,,,1197484.5852810948,,,1938049.8157067646,,
2021-03-02,48401.732978524866,0.0001043412896116,8183713962.937389,15221543381.45755,14373618.94605175,16207696.049115889,15454971405.90981,,,1047999.4028660974,,,3729166.9414786696,,
2021-03-03,50698.56833524798,0.0003353581020754,8731972531.779284,16259703616.193924,23631200.477571063,18656207.72026865,15474999159.213263,,,1340929.4780095476,,,2991662.7517017797,,
2021-03-04,48515.77021377723,0.0001827261728529,8568069920.38461,15710117959.480211,20984732.29235871,24728561.658266265,15442102414.212183,,,1355250.9460183387,,,1954111.232487082,,
2021-03-05,48915.789594568705,0.0001010589668051,8301257696.47934,15385044412.504108,23693007.02288808,22094026.06991917,15484698008.206955,,,1248813.6122300334,,,2638366.7889521234,,
2021-03-06,48905.87987030982,0.0001126446831406,8403936569.185359,15508762078.217718,13383851.885251798,9451832.792206213,15531263110.880476,,,1308362.2209659233,,,4113699.266615387,,
2021-03-07,51282.11369865597,0.0004888942342403,9022314858.990755,16348058599.950788,13168749.748934284,11616086.030814763,15702917959.075144,,,1767666.5273413546,,,4978276.90025741,,
2021-03-08,52307.860713183174,0.0005696565660707,9984765864.069448,17687202239.31959,16851827.69903107,14448709.26614498,16017204612.446272,,,2461752.582398698,,,1269124.069335832,,
2021-03-09,54696.82182220556,0.0007398580728394,10506620911.203976,18672915829.548534,45105673.9796796,33380442.731445614,16510257819.31641,,,3450253.872500437,,,3206168.1195212784,,
2021-03-10,56128.767227455,0.0012776390876678,11214512031.836208,19769813835.76788,48179893.26568199,38427748.28234604,17011702136.398405,,,5078791.184695116,,,3888618.4375260696,,
2021-03-11,57800.36671419076,0.0010771070410134,12090242227.143208,20927370479.45668,33201940.19143711,30650775.398910426,17757023924.966473,,,6715487.52828448,,,4787903.317302389,,
2021-03-12,57372.32951283427,0.0005054968225495,11500842507.206291,20476248516.5192,28062623.445598673,32834555.75805399,18484338796.968624,,,7426162.216576754,,,3877772.850813214,,
2021-03-13,61217.050879895614,0.0015593351523165,13073321731.509298,22771814264.673058,45917701.97582753,41352573.688946605,19521917680.747963,,,10203166.696793335,,,3968217.02136112,,
2021-03-14,59728.59392893374,0.0009337264138923,12628306859.02786,22375361821.990288,23942840.4482516,26319548.82973991,20382960998.18218,,,11257513.262929115,,,3406878.149988573,,
2021-03-15,55813.8936028549,0.0001258055484661,11380240933.939411,20684716915.205902,55545179.61582886,68052695.75027287,20811177380.451653,,,10649486.122532666,,,1276787.497512844,,
2021-03-16,56488.62247040071,0.0002603071436551,11016735656.78317,20221053109.29989,22642680.255868506,28441290.404818084,21032339848.987556,,,9948675.649933096,,,-1226618.4163705222,,
2021-03-17,58748.92354285633,0.0001885432701723,11349791690.16724,20746945680.08575,65682361.33901257,36565547.66969836,21171930112.46154,,,8207508.209939346,,,1539762.8244835155,,
2021-03-18,57887.8812431903,0.0004200146469494,11476081780.81069,20920475593.58445,36576250.52718475,24327969.526380252,21170945128.765503,,,7035742.125241655,,,2925065.139951774,,
2021-03-19,58374.206863912295,0.0002313879230829,11219115830.9095,20781719511.9884,17180426.735516846,14564305.17277016,21214583842.40396,,,6576074.777656744,,,3980501.407837774,,
2021-03-20,58443.52143446477,0.0005490543232699,11554213884.229927,21300274151.488808,20351617.73245207,19168684.23999268,21004363826.234783,,,4570103.485033299,,,3497330.7229204127,,
2021-03-21,57521.45671319987,0.0001934366676553,11454173458.63784,21174733666.58188,17686781.10650651,21396239.80776873,20832845518.319298,,,3202142.5518294526,,,3306937.820095568,,
2021-03-22,54608.25914921329,0.000272406349338,11160256816.76679,20674681739.39952,25183203.65859598,24473680.553007953,20831411921.77553,,,3431917.889652218,,,5195086.2829572875,,
2021-03-23,54888.85537030697,0.0002125669594856,10926584480.132423,20369015961.47353,20514878.89326268,17717061.38608916,20852549472.08605,,,3354045.8681213288,,,6423147.376689159,,
2021-03-24,52774.26369049241,0.0001816076672231,10638479855.838451,19918581206.158207,22828830.86074173,21294542.184513617,20734211690.096397,,,3324346.249318505,,,2482786.6633911454,,
2021-03-25,51704.16192519879,0.0001080017327019,10372832443.97745,19249363381.23274,22525293.1622979,37017511.23905492,20495481374.046154,,,2795797.883525134,,,-1337284.633403357,,
2021-03-26,55137.31372577932,5.90959246557e-05,10764932704.99502,19000319474.79095,16272502.725990709,15560008.07706678,20240995654.44652,,,2515825.8465419104,,,-1609231.3353780364,,
2021-03-27,56067.945548474745,0.0001327301544916,10980530544.540983,19349432470.199142,14569082.442398109,12906882.215728918,19962303985.690853,,,1817762.4794640692,,,-1540764.6590623506,,
2021-03-28,55991.20119647779,0.0001840575866177,10722139567.115032,19152138685.31902,15216304.232515868,12000907.028454518,19673361845.510445,,,1783167.3348235919,,,-551499.5297304125,,
2021-03-29,57769.14012066299,0.0006144493132556,11574726771.96653,20802117956.9662,30832889.53369699,24491164.989584956,19691567019.448544,,,2364875.6346844593,,,253100.6757730171,,
2021-03-30,58937.638886814275,0.0010005703053133,12562181265.40715,22212502111.78472,15939124.866954612,12342495.48360278,19954922183.778713,,,3828692.0209166235,,,367216.6580842044,,
2021-03-31,58954.49700814971,0.0009885120734839,12566317996.36964,22527458295.694103,40480677.057734445,40290008.43213013,20327618910.855267,,,5327253.099378143,,,175270.93656651914,,
2021-04-01,59118.97407768802,0.0007278243131859,12533616134.007046,22529959134.96681,14630815.29163057,22063330.826211877,20796275447.102993,,,6470394.053305765,,,1183799.8711630492,,
2021-04-02,59392.14948112517,0.0008398479384302,12974186615.25096,23130541463.353004,18039998.8870834,23064933.289366137,21386307159.75472,,,7936134.086101356,,,364167.14956209675,,
2021-04-03,57642.97095819078,0.0008251144999362,12871627202.339388,23041788660.953255,14250926.20109573,20169224.618226,21913786615.57673,,,9245151.04707947,,,-718761.2281235403,,
2021-04-04,58752.80659415484,0.0003965688646849,12821676090.115068,22979883497.338528,8606267.28305301,11199864.271842629,22460607303.008087,,,9689606.246838486,,,-1548617.5413879643,,
2021-04-05,58898.76589833386,0.0008060914622668,12914437231.349762,23289153510.279884,14178409.66112462,11637267.80631157,22815898096.338615,,,10160768.34341213,,,-2091557.9255735336,,
2021-04-06,58243.4539402529,0.0007440479094753,13033789015.086653,23362939098.62643,15490451.172749875,13549455.154396756,22980246237.316,,,9750542.332710402,,,-2328076.9777162066,,
2021-04-07,56219.39629880624,0.0003390534959914,12690147252.65328,22488888546.775272,19034774.84532262,24412616.16612344,22974736273.184742,,,8590639.72299731,,,-3123578.398631226,,
2021-04-08,58321.10713544663,0.0002934184268631,12662885701.096148,22534598175.586823,11347784.361859526,10026379.830789158,22975398993.27331,,,7818247.35835352,,,-1873018.389252415,,
2021-04-09,58245.00300108353,0.00022219729245,12614625591.944777,22664391000.96068,8693209.323284581,7610259.0959172305,22908806070.07441,,,6662046.182664006,,,-1000463.4421595453,,
2021-04-10,59793.23541009381,0.0010920264262634,13123735731.169271,23887701047.601566,33434866.368873022,36986291.15102341,23029650696.738457,,,7192174.752279809,,,-662338.6371624193,,
2021-04-11,60226.42360963432,0.0010167319600848,13427222638.584309,24385554701.66965,20117964.913690124,20931042.48415269,23230460868.78576,,,8416061.732481003,,,-407978.72025855473,,
2021-04-12,59915.46446523154,0.0008652670765969,13946026985.935017,25281536909.508923,44821436.21129365,42657517.0571457,23515087068.675625,,,8652750.362208137,,,-461867.6774964258,,
2021-04-13,63603.70817233695,0.0009814228770015,15260027633.069807,27409546077.96064,42371377.92938251,32883704.815572053,24093173780.009083,,,9406861.327001337,,,616229.050426051,,
2021-04-14,62922.213180229075,0.0007122354216188,14745972196.66095,26528314444.645226,34224477.23463995,34645673.72980968,24670234622.56193,,,10292570.603288502,,,1324321.1683733496,,
2021-04-15,63285.56727067338,0.0007292153582981,14639482241.737942,26579040595.628166,13722672.66248842,12667986.66061438,25248012111.139263,,,11286829.358466323,,,1286218.5213453025,,
2021-04-16,61611.99680584272,0.000535762747814,14360146761.3389,25661149395.09846,27964817.914496355,27551729.589970987,25676120453.158947,,,11985500.220761556,,,1190523.9637964477,,
2021-04-17,60803.84653163625,0.0005189938928344,14373046367.41396,25536116179.71609,13258201.86911997,13241302.16034148,25911608329.175312,,,11003794.085958617,,,1700284.6053577159,,
2021-04-18,56163.105403277135,0.0001269532720145,11728191877.607271,22242398219.02612,92805754.6366948,94295861.34937912,25605443117.369087,,,9266229.220509088,,,1603566.156468894,,
2021-04-19,55657.83923174755,0.0001354296222744,11389271547.451302,21054765990.202305,34709576.37033031,40046923.0629201,25001618700.32529,,,7762715.8981362935,,,531956.7497920737,,
2021-04-20,56379.21247716248,0.0001828433380128,11636364004.75724,20865803344.69554,50553773.69210172,41655653.305102974,24066798309.858845,,,5927157.528735156,,,447734.9316761145,,
2021-04-21,53861.436959475745,7.5432215421e-05,11442950478.292452,20301334370.542725,45720744.95215248,49650049.96792796,23177229727.844204,,,4550095.154572654,,,-53423.42841042126,,
2021-04-22,51826.89354372698,0.0001714158558503,11143405050.113403,19772130022.619095,128376045.06929363,109173578.77902412,22204813931.700047,,,3297926.729650388,,,2539116.6127889315,,
2021-04-23,51027.733327861744,-4.4443183246e-06,10720651556.711794,18765802961.875896,102222090.25160846,91801920.28318076,21219764441.23968,,,2192029.918788618,,,3968699.7047749795,,
2021-04-24,50020.15342145914,0.000118519111683,10625367991.16313,18602287986.8849,31908023.866332952,19755246.922873016,20229217556.54951,,,1306285.0458606372,,,5702396.4525866145,,
2021-04-25,49039.86234149808,8.9816404058e-06,10608643740.146055,18632417512.3714,34033350.7571697,23485438.52754643,19713506027.02741,,,1107192.2872307952,,,7422113.444344842,,
2021-04-26,54006.25201262605,4.10470670169e-05,10228921213.325785,18421214389.650597,58329795.2467231,45036368.4545843,19337284369.805737,,,946824.0687882343,,,10083652.513591783,,
2021-04-27,54981.4799948714,6.41746671197e-05,10501979651.898935,18741611796.056606,19696491.462927923,23142044.151968285,19033828434.28589,,,739156.8418306158,,,8320270.645586197,,
2021-04-28,54793.39452980505,7.53264329087e-05,10294328010.324656,18495288641.438976,14743414.151051156,14443741.850925809,18775821901.55678,,,726623.6850705415,,,8924410.262143457,,
2021-04-29,53558.66206906318,0.00013412825683,10495437350.785036,18742211539.41531,43948030.17895796,22864498.097584073,18628690689.670525,,,654849.1711816165,,,9193133.94658694,,
2021-04-30,57775.27815155285,0.0001468993952732,11232531187.000248,19763313700.16567,41997535.01502875,18002272.070273872,18771192223.71192,,,897377.4607420225,,,11132432.943205109,,
2021-05-01,57811.517527593925,0.0002856396549008,11160776670.99744,19746310539.55761,22870304.257288706,17101761.43383516,18934624016.950882,,,1172899.0637578757,,,10220399.49748991,,
2021-05-02,56613.20264847865,0.0002723336470007,11224567990.23202,19803163939.554924,12493519.65844361,11395677.35865236,19101873506.548527,,,1595976.8514035854,,,8870389.507513907,,
2021-05-03,57200.29122289164,0.0003339889627566,11362071125.515375,19659347117.37618,42968102.137924686,35124903.505738586,19278749610.509327,,,2078111.0136069602,,,8091785.484663522,,
2021-05-04,53333.53775274298,0.0002159070918969,10901301131.557997,19153189618.269604,36480026.91075182,42502640.27686999,19337546442.254036,,,2318069.1817424735,,,7723633.959366692,,
2021-05-05,57424.00594813379,0.0003210619385119,10841739454.92923,19455915212.98074,38483778.53576475,33619994.93175176,19474778809.61715,,,2704559.878603996,,,8375649.859922069,,
2021-05-06,56485.701296946165,0.0003819090809189,10999937290.098167,19516722106.766113,39051087.09531561,41502835.20854965,19585423176.38155,,,3103594.339189376,,,5013466.97497808,,
2021-05-07,57369.55799873567,0.0002630999229962,10866927437.8766,19536978017.23127,45254977.39831549,45051323.33725145,19553089507.39092,,,3276313.7296683663,,,1614665.7058793884,,
2021-05-08,58766.58487466966,0.0002841189923565,11100502346.85393,19963218197.398174,71247053.45561567,56287755.920359805,19584076315.65386,,,3271442.7503412934,,,2927630.6647082907,,
2021-05-09,58218.56607679752,0.0002128227454148,11057439471.196327,19868605877.12789,56462456.67209925,58340533.846186824,19593425163.878567,,,3170935.1915885466,,,2502499.31129703,,
2021-05-10,55824.86166666395,0.0002512182870412,11230696735.8271,20115412499.70443,78926306.04841685,84239192.14398035,19658577361.35403,,,3031870.91248513,,,623058.6359042302,,
2021-05-11,56714.088910232254,0.0001324095913326,11066015834.844755,20229855125.669403,62613488.178166166,83574275.62093267,19812386719.554005,,,2904953.5423658164,,,-1510966.2321883887,,
2021-05-12,49916.49449913513,8.88961707053e-05,11084309648.584633,20092435087.049217,145465916.0377139,158351796.29987758,19903318130.135216,,,2548451.084713024,,,-4046632.4987850585,,
2021-05-13,49729.30250032533,0.0002126988596271,9859297262.113802,18588218823.709923,277790497.9448123,283651893.8944252,19770674803.984333,,,2247891.8481057766,,,-4533725.046839184,,
2021-05-14,49873.68639240858,6.30196899259e-05,9584447229.276148,18360073630.0261,73586858.94721426,69118258.54237902,19602545605.81216,,,1925737.722447135,,,-3924446.997729013,,
2021-05-15,46803.83052248365,0.0001975133262177,9822370420.378263,18542245057.178867,79481006.72713579,69703661.77653994,19399549442.923687,,,1752335.6526803002,,,-4664725.938394728,,
2021-05-16,46406.33154419618,0.0001040851467886,9713487104.201391,18290482932.15915,165636638.98647857,163441811.883277,19174103307.928154,,,1560586.3820448718,,,-4082882.470210565,,
2021-05-17,43382.14785916692,0.0001838304241498,9362273618.098965,17414587032.404526,98384902.76406457,101746066.37609877,18788271098.313885,,,1403402.7154688623,,,-3804064.9725635224,,
2021-05-18,42985.84309639979,8.76725453519e-05,9370734971.067638,17401679111.74921,120705023.20037504,117601696.7099177,18384245953.46814,,,1311446.937234532,,,-366334.4106744017,,
2021-05-19,37151.95393552557,-0.0012454786022591,6168973074.193798,12112783568.543766,229031686.10363016,256240528.38799503,17244295736.53879,,,73064.55944997525,,,-2412471.8424174273,,
2021-05-20,40512.11108015661,-0.0003339962101644,6281179526.424852,12356586781.420732,167484137.26480612,177024848.2633,16354062587.640335,,,-526214.2179163557,,,-2938088.277971851,,
2021-05-21,37273.44235496146,-0.0002098733809272,6075519155.359013,11867296499.448551,184379796.6183862,199090638.4062529,15426522997.557829,,,-794656.880562541,,,-5678008.591214983,,
2021-05-22,37645.72214685647,3.0231540956e-06,5757317161.071235,11513663337.179695,102469545.79977164,102556563.52891868,14422439894.700806,,,-1069320.2800076979,,,-7087203.259749683,,
2021-05-23,34888.67831280685,-0.0001333587677533,5492826510.617567,11040730707.25037,127156603.86268488,119253937.51088096,13386761005.428122,,,-1318398.3237232112,,,-6271797.652806491,,
2021-05-24,38669.0184494052,2.35954317401e-05,5786300531.218536,11503334354.372316,164531250.18853945,148986365.7273742,12542296337.137806,,,-1544761.2481531461,,,-3570933.642349426,,
2021-05-25,38211.78552190482,6.8649075657e-05,5773603492.688937,11368800434.7461,111648736.9215891,104846270.39898488,11680456526.13736,,,-1605504.6258314946,,,-3042485.0663284427,,
2021-05-26,39266.35535111086,-2.455333998e-07,5999179688.707102,11565991582.388952,127809273.49905156,127891736.95122436,11602343385.258102,,,-508097.345426361,,,832711.9096989973,,
2021-05-27,38530.1395731867,5.8006490925e-05,5893754890.085585,11392179803.125498,126586540.89917028,121457668.0006802,11464570959.787354,,,-159559.31732149734,,,2928366.752125278,,
2021-05-28,35690.74355653414,-8.35439992743e-05,6199906989.890686,11358819373.6484,91431887.50857644,96015789.32980716,11391931370.387333,,,-51398.64289878198,,,4375072.461644701,,
2021-05-29,34613.06385325806,6.61380131636e-05,5876070014.739781,10967484797.420004,83722066.6718526,77291250.71133205,11313905864.707378,,,1633.6912483514752,,,5306191.5601686435,,
2021-05-30,35639.981454563684,8.2290364759e-05,5883244357.108382,10986552885.296284,45614816.66143941,44120079.39579726,11306166175.856794,,,175440.96254140785,,,4390773.119288391,,
2021-05-31,37317.27679738992,5.61120082158e-05,6306958935.278196,11441643943.160791,63079873.34405483,69973639.34758693,11297353259.969433,,,206493.23002440383,,,1185251.6243316275,,
2021-06-01,36642.32959185035,4.61082506036e-05,6025056413.27083,10885915567.093569,54620263.6867946,53496608.4033628,11228369707.447643,,,189557.8397416605,,,373992.87587842345,,
2021-06-02,37659.80709526973,8.50640688961e-05,6357439994.962749,11344023959.295467,43588864.39991891,40894457.490018874,11196660047.005716,,,267023.9415587051,,,770688.6418888281,,
2021-06-03,39173.79329215054,2.85531735693e-05,6849310716.710492,11884720859.880611,40502953.24098828,46216368.095293716,11267023055.113588,,,246123.01558418758,,,-778209.6085105325,,
2021-06-04,36975.00656850563,-2.40379578825e-05,6559573483.208166,11502583771.259771,53693398.407122016,53007999.44442987,11287560826.200928,,,297592.4832909923,,,-25452.353664407772,,
2021-06-05,35533.74658759773,2.9595734188e-06,6410818073.960414,11312733893.328611,58784316.2634764,63076095.711964555,11336882125.616444,,,244784.1534023296,,,-1557251.6978085083,,
2021-06-06,35797.42238993168,7.75849435286e-05,6521431274.259329,11490026616.892542,57307413.16569926,47671696.03863864,11408806944.415909,,,247902.80383465515,,,-394254.57474872685,,
2021-06-07,33577.694225233514,5.52832651e-06,6692821858.091509,11535962139.269886,49315648.35405304,56943896.43428153,11422280972.431494,,,202631.94282204824,,,-499180.58570535376,,
2021-06-08,33452.00225490226,4.63326023424e-05,6405316750.959302,11076276872.971125,94615873.04590484,106520564.39405,11449475444.699717,,,205341.9689499614,,,-2360372.9616449187,,
2021-06-09,37290.99177617837,-0.000219217068798,7358523015.826959,12243840878.079384,84557061.5290945,71489055.21632057,11578020718.811705,,,-102358.53961382972,,,-878430.1898057908,,
