,price_usd_close,us_spot_etf_flows_net,us_spot_etf_balances_all_total,us_spot_etf_balances_all_GBTC,us_spot_etf_flows_all_total,us_spot_etf_flows_all_GBTC,AGG_Volume,GBTC_Price,GBTC_Volume,BTC_Price,BTC_Volume,IBIT_Price,IBIT_Volume,FBTC_Price,FBTC_Volume,ARKB_Price,ARKB_Volume,BITB_Price,BITB_Volume,BTCO_Price,BTCO_Volume,HODL_Price,HODL_Volume,BRRR_Price,BRRR_Volume,EZBC_Price,EZBC_Volume,BTCW_Price,BTCW_Volume,etfFlow_sma_meandev,etfFlow_upper,etfFlow_lower,etfmvrv_sma_meandev,etfmvrv_upper,etfmvrv_lower,etfvol_sma_meandev,etfvol_upper,etfvol_lower
2024-01-17 00:00:00+00:00,42730.92623338343,374731733.6182763,27790134945.4,25251510000.0,374731733.61827636,-587670852.1908814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2024-01-18 00:00:00+00:00,41261.24249519073,17279579.94393032,26825745445.838474,23707970000.0,17279579.94393032,-444730502.267461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2024-01-19 00:00:00+00:00,41609.56250778722,-474580055.1977401,27044944937.189137,23536551516.45,-474580055.1977401,-672603667.7682326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2024-01-20 00:00:00+00:00,41648.71864578855,0.0,27044944937.189137,23536551516.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2024-01-21 00:00:00+00:00,41535.75916314732,0.0,27044944937.189137,23536551516.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2024-01-22 00:00:00+00:00,39450.40187133021,463863130.392569,26232045247.489998,22175195701.96,463863130.392569,-498177302.90609807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2024-01-23 00:00:00+00:00,39827.34939619788,-213587440.3259783,25554293199.990047,21017918127.29,-213587440.32597834,-625141132.0662371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167706948.43105724,,,,,,0.0,,
2024-01-24 00:00:00+00:00,40110.3806221753,-275311758.4593411,25625518616.289997,20712006164.68,-275311758.4593411,-522349560.2485688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-482336543.6465602,,,,,,0.0,,
2024-01-25 00:00:00+00:00,39928.14467734016,-92541410.42687716,25586923801.90666,20385825902.75,-92541410.42687717,-433217552.7704919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-592157534.0173676,,,,,,0.0,,
2024-01-26 00:00:00+00:00,41874.34393455977,-224893436.9642896,26920131045.242752,21101517635.67,-224893436.9642896,-407773854.79789215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342470915.7839171,,,,,,0.0,,
2024-01-27 00:00:00+00:00,42115.22347863907,0.0,26920131045.242752,21101517635.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342470915.7839171,,,0.8708030840740753,,,0.0,,
2024-01-28 00:00:00+00:00,42023.43720200737,0.0,26920131045.242752,21101517635.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342470915.7839171,,,0.8708030840740753,,,0.0,,
2024-01-29 00:00:00+00:00,43260.518364565825,259014783.59596747,27731630793.43,21431132778.35,259014783.59596747,-274107759.2076885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-547319262.5805187,,,0.8749056161000259,,,0.0,,
2024-01-30 00:00:00+00:00,42911.953177663134,270722462.67842305,28128667315.61,21436507050.86,270722462.67842305,-194483448.25211057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63009359.57611734,,,0.8716843852225972,,,0.0,,
2024-01-31 00:00:00+00:00,42585.02506743466,168162378.52850592,27851098093.703228,20708067322.02,168162378.52850592,-217886693.23445132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380464777.41172975,,,0.8938854157484638,,,0.0,,
2024-02-01 00:00:00+00:00,43049.060500137675,35234726.64645699,28131141933.92,20741536941.51,35234726.64645699,-190819509.945556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508240914.4850639,,,0.9021627390801608,,,0.0,,
2024-02-02 00:00:00+00:00,43163.942721844,72421631.93889436,28193024924.01,20535776990.36,72421631.93889436,-329579428.21899736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805555983.3882477,,,0.8857193251103499,,,0.0,,
