t,price_usd_close,marketcap_realized_usd,lth_sum,sth_sum,rhodl_ratio,rcap_sma_zscore,rcap_upper,rcap_lower,sthlth_sma_meandev,sthlth_upper,sthlth_lower,rhodl_sma_maxmin,rhodl_upper,rhodl_lower
2014-01-01,753.405480556,3252709144.975647,5157231366.922055,3806040628.188604,51147.00813985414,,,,,,,,,
2014-01-02,784.280603894,3265472378.5333443,5371073932.404104,3960786680.556055,51386.593997522104,,,,,,,,,
2014-01-03,807.915916232,3284910483.716361,5532985689.318381,4081170381.467205,52353.731074371295,,,,,,,,,
2014-01-04,828.7459845879999,3339860605.189099,5677043795.92183,4188912729.326107,60198.284938710465,,,,,,,,,
2014-01-05,904.760075074,3371533278.9779787,6197087018.886287,4582247748.153434,66716.44953612561,,,,,,,,,
2014-01-06,917.382725522,3399649385.928434,6232088897.662247,4600281750.705303,66022.75849316448,,,,,,,,,
2014-01-07,789.593524042,3417374090.0991063,5551510123.398362,4098201945.418144,66227.5227755274,,,,0.7380999807955071,,,10.981083217269468,,
2014-01-08,822.864923038,3447830012.1641374,5631781700.714707,4153557840.914798,76481.74085637294,,,,0.7380314592023386,,,11.038561507545182,,
2014-01-09,825.8665006040001,3458805397.6398764,5667349640.403459,4179738712.247123,76528.17325437222,,,,0.7380432983812405,,,11.095458883201784,,
2014-01-10,854.445450584,3466007255.8269167,5838659496.451118,4300810249.808987,69984.13854236114,,,,0.7379007179725995,,,11.136922514291484,,
2014-01-11,893.6831232820001,3495821116.255395,6075204058.024142,4496144676.292823,64202.05174850126,,,,0.7382168029635778,,,11.146121272343754,,
2014-01-12,843.286613774,3514479922.846933,5782292112.9562235,4283929527.493114,65813.26964357187,,,,0.7384240680857458,,,11.14417412121048,,
2014-01-13,822.530427934,3521520350.5077167,5666965926.554674,4193288393.649276,61470.08270133903,,,,0.7386801408206206,,,11.133967133791879,,
2014-01-14,815.996819406,3538975866.909319,5585491772.520518,4159850322.860501,62206.77235699,,,,0.7396152842540976,,,11.12501966889435,,
2014-01-15,840.1151583520001,3562800788.409224,5753629975.397909,4284636153.003089,60075.7706792681,,,,0.7406385547448584,,,11.090527465955988,,
2014-01-16,814.4962523859999,3579167294.4090614,5584096341.618589,4161204744.498263,62224.68238827016,,,,0.741735198334572,,,11.0609692935452,,
2014-01-17,794.5266687980001,3585683736.625584,5446375422.930056,4053737268.025107,64782.94549205427,,,,0.7428338863638897,,,11.0499369732232,,
2014-01-18,811.37762176,3591294112.530168,5564898264.183561,4137065136.544628,62072.862992512826,,,,0.7433110665758731,,,11.045118935465903,,
2014-01-19,841.4564324119999,3601088546.686665,5775794829.148052,4292879704.5422273,57091.10821053112,,,,0.7436514977131443,,,11.024808492196302,,
2014-01-20,826.696425026,3612510035.457804,5696961541.4192295,4232375818.28608,54853.352281840795,,,,0.7440750839038885,,,11.0085388787398,,
2014-01-21,824.875769878,3620180743.341567,5665805571.780614,4205422650.165855,52047.5422585901,,,,0.7437159830277026,,,10.983066550302008,,
2014-01-22,818.534270204,3633825940.897245,5629499772.174046,4184390884.469992,49134.20955235352,,,,0.7435178559858906,,,10.95434496662536,,
