t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,long_interest,preplongsideinterest_ema_maxmin,prep_long_interest_3ema,futureopeninterest_sma_maxmin,perp_cvd_bias_sum,perp_cvd_sum7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2021-02-13,47067.93913526245,0.0006313532674334,8398563300.605907,284048.2450675512,12642292.71992064,12911226.462408572,5302460.38158378,,6920366.822929594,,,-18448059.2834676,,0.0
2021-02-14,48747.45244155483,0.0015304452100068,9041561646.73096,292070.55921119463,17924863.66865726,20058551.313610893,13837614.713220594,,10378990.768075094,,,-14826386.96223048,,0.0
2021-02-15,47984.954753679056,0.0009186290135038,8640049364.951727,285968.80313367257,32522393.59953633,26076460.663407423,7937000.024749738,,9157995.396412415,,,-10555388.48623377,,0.0
2021-02-16,49175.90051592181,0.0011595811622245,9045375212.288282,290088.63106584,35977630.12725246,33973878.03691305,10488846.70142193,,9823421.048917172,,,-7475336.749269566,,0.0
2021-02-17,52138.04498768492,0.0016658442970921,9859529952.036327,295955.4334395224,41609780.373872995,28462930.2475096,16424441.742608462,,13123931.395762816,,,17178187.495631456,,0.0
2021-02-18,51649.57543629381,0.0011372818912944,9584962834.776537,294077.07690249715,35806105.9295373,33229955.51143852,10900804.660721194,,12012368.028242005,,,20597537.248995848,,0.0
2021-02-19,55776.18881251338,0.0011238853096956,9846195213.404388,280458.05201814836,42676185.65849843,21343148.42958726,11065994.156740325,,11539181.092491165,,,43103101.41240009,,0.0
2021-02-20,56134.54415202914,0.0007361989554275,9518905936.019695,267945.93659769447,36516910.88091173,42902880.23809376,7007808.606910328,,9273494.849700747,,,36986065.797705986,,0.0
2021-02-21,57487.03807408455,0.0011251449186282,10040774167.465328,272585.08595165075,20631043.31061875,24940175.642845254,11297326.03361691,,10285410.441658828,,,34810621.11043312,,0.0
2021-02-22,54092.68879988714,0.0005238324878802,8793846890.38348,263899.5992421034,56726863.26953381,70526673.41131279,4606502.694627139,,7445956.568142984,,,14564878.032525238,,0.0
2021-02-23,48548.9572135791,0.0002455616191397,7738569049.46228,272329.37737943244,39399008.989723004,53770905.97319049,1900295.5456103268,,4673126.056876656,,,-1810771.0412816536,,0.0
2021-02-24,49652.01003172871,0.0001108144568569,7921594659.453651,269331.2831347505,33797822.30739235,23660300.22165171,877827.2096278761,,2775476.633252266,,,-4820099.081904409,,0.0
2021-02-25,47209.54406873051,0.0001833711624747,7991225716.467654,281279.5896437944,22821746.185450777,19302714.916855443,1465360.3492263912,,2120418.4912393284,,,-3877218.231407853,,0.0
2021-02-26,46243.95205410501,0.0002118348522293,7477418592.067429,269408.92140020593,22635268.23288649,25826076.175172873,1583977.8625072243,,1852198.1768732765,,,-28401063.402605403,,0.0
2021-02-27,46319.69639361085,6.97497454655e-05,7595992032.407034,272955.13875448046,10210422.01071786,16605730.26131512,529818.5108183566,,1191008.3438458166,,,-28410402.29602063,,0.0
2021-02-28,45119.12569768188,0.000155379708002,7696163062.796804,279269.4620272288,21145098.725808337,25644478.443182983,1195827.5694331455,,1193417.956639481,,,-28600649.681168772,,0.0
2021-03-01,49768.16035012147,9.92623313121e-05,8354478872.120281,268202.6447250104,47443397.29013866,19076209.04080152,829285.0497443429,,1011351.503191912,,,13566348.709947344,,0.0
2021-03-02,48401.732978524866,0.0001043412896116,8183713962.937388,271556.1654098666,14373618.946051748,16207696.04911589,853899.2687053448,-1.0,932625.3859486284,,,26104168.590350684,-1.0,0.4256654612772879
2021-03-03,50698.56833524798,0.0003353581020754,8731972531.779282,275664.2784679629,23631200.477571055,18656207.720268644,2928337.735632025,-0.8363003645321659,1930481.560790327,,,20941639.261912454,-0.8363003645321659,0.3559841804349486
2021-03-04,48515.77021377723,0.0001827261728529,8568069920.384609,279128.5198537241,20984732.29235871,24728561.65826626,1565610.6252879312,-0.866229146174483,1748046.093039129,-0.14948211527754574,,13678778.62740957,-0.5078556307260144,0.39554908377829134
2021-03-05,48915.789594568705,0.0001010589668051,8301257696.479339,271181.2852848148,23693007.022888076,22094026.06991917,838916.5259890864,-0.9408011047749955,1293481.3095141076,-0.20700030050986606,,18468567.52266486,-0.5739007026424308,0.43761369443348475
2021-03-06,48905.87987030982,0.0001126446831406,8403936569.18536,273692.7860993972,13383851.8852518,9451832.792206213,946658.7719695859,-0.9692494545469825,1120070.040741847,-0.38099291192692475,,28795894.866307706,-0.6751211832369537,0.48094695058763914
2021-03-07,51282.11369865597,0.0004888942342403,9022314858.99076,276105.8830728418,13168749.74893428,11616086.03081476,4410957.714061169,-0.6993122000255959,2765513.877401508,-0.5627105547834845,,34847938.301801875,-0.6310113774045403,0.3986540533560172
2021-03-08,52307.860713183174,0.0005696565660707,9984765864.069448,292751.912333497,16851827.69903107,14448709.26614498,5687887.435145747,-0.459602561419881,4226700.656273628,0.0072585023190292475,,8883868.485350823,-0.22617202955042587,0.19433436460812303
2021-03-09,54696.82182220556,0.0007398580728394,10506620911.203976,292655.3460418975,45105673.979679614,33380442.73144562,7773408.299417514,-0.16868150338977872,6000054.477845571,0.5083135892334743,,22443176.836648956,0.16981604292184777,-0.019417326967608783
2021-03-10,56128.767227455,0.0012776390876678,11214512031.836208,303378.8859479269,48179893.265682,38427748.28234604,14328098.92099478,0.5144318920450504,10164076.699420175,1.0,,27220329.062682502,0.7572159460225252,-0.39843049862973823
2021-03-11,57800.36671419076,0.0010771070410134,12090242227.1432,312872.5471919313,33201940.191437107,30650775.398910426,13022485.030413471,0.7488947402987349,11593280.864916824,1.0,,33515323.221116737,0.8744473701493675,-0.4982332350840296
2021-03-12,57372.32951283427,0.0005054968225495,11500842507.206297,304796.6584888971,28062623.445598673,32834555.758053992,5813639.344035008,0.2748157928726662,8703460.104475915,1.0,,27144409.955692507,0.6374078964363331,-0.296434201246061
2021-03-13,61217.050879895614,0.0015593351523165,13073321731.509296,319783.2535113575,45917701.97582755,41352573.68894661,20385690.133485656,1.0,14544575.118980786,1.0,,27777519.149527863,1.0,-0.6051200712839219
2021-03-14,59728.59392893374,0.0009337264138923,12628306859.027857,323412.0426590552,23942840.4482516,26319548.82973991,11791383.677011615,0.7977371724134426,13167979.3979962,1.0,,23848147.04992003,0.8988685862067213,-0.5190237714800413
2021-03-15,55813.8936028549,0.0001258055484661,11380240933.939411,316852.4170485589,55545179.615828864,68052695.75027288,1431697.4523706099,-0.0644671536240774,7299838.425183405,1.0,,8937512.482589925,0.4677664231879613,-0.15201316932200715
2021-03-16,56488.62247040071,0.0002603071436551,11016735656.783173,304709.8657054308,22642680.25586851,28441290.404818084,2867734.99122052,-0.3900710179409935,5083786.7082019625,0.8062759345049568,,-8586328.914593644,0.20810245828198165,0.02134982639843308
2021-03-17,58748.92354285633,0.0001885432701723,11349791690.16724,300779.2984715903,65682361.339012586,36565547.669698365,2139926.8410385274,-0.6063412749505064,3611856.774620245,0.515398576756551,,10778339.77138462,-0.0454713490969777,0.16560788790344527
2021-03-18,57887.8812431903,0.0004200146469494,11476081780.81069,308807.3673279412,36576250.52718475,24327969.52638025,4820122.437529644,-0.5175762055367327,4215989.606074944,0.41200312517963367,,20475455.979662437,-0.0527865401785495,0.14637845412531614
2021-03-19,58374.206863912295,0.0002313879230829,11219115830.909502,301578.48346311616,17180426.73551685,14564305.17277016,2595967.9109406336,-0.6365908747727642,3405978.758507789,0.37175841666350085,,27863509.85486445,-0.13241622905463168,0.20426098667602877
2021-03-20,58443.52143446477,0.0005490543232699,11554213884.229927,309335.4878556684,20351617.732452065,19168684.23999268,6343891.085121545,-0.4207575530051768,4874934.921814667,0.48172306521964026,,24481315.060442895,0.030482756107231723,0.09265453308566074
2021-03-21,57521.45671319987,0.0001934366676553,11454173458.63784,311754.74013758666,17686781.10650651,21396239.80776873,2215657.144584686,-0.6161210262316981,3545296.0331996763,0.5196028736983671,,23148564.740668982,-0.04825907626666548,0.16901630977568516
2021-03-22,54608.25914921329,0.000272406349338,11160256816.766792,324209.3571400437,25183203.65859598,24473680.553007953,3040124.8171299705,-0.6532333595841939,3292710.4251648234,0.8104561915354698,,36365603.98070103,0.07861141597563792,0.13261877954965895
2021-03-23,54888.85537030697,0.0002125669594856,10926584480.132423,317144.1552736433,20514878.893262673,17717061.386089157,2322630.8405042943,-0.7245001217811211,2807670.632834559,0.9108136438736898,,44962031.63682412,0.09315676104628434,0.14494497128333816
2021-03-24,52774.26369049241,0.0001816076672231,10638479855.838451,321688.8548980725,22828830.860741735,21294542.184513617,1932029.5094187625,-0.7888289755154891,2369850.071126661,1.0,,17379506.643738016,0.10558551224225543,0.15632263972505744
2021-03-25,51704.16192519879,0.0001080017327019,10372832443.977451,320312.90277501417,22525293.162297897,37017511.23905491,1120283.8769760488,-0.8806281827310642,1745066.974051355,0.9505155928440061,,-9360992.433823494,0.03494370505647093,0.2042785965969529
2021-03-26,55137.31372577932,5.90959246557e-05,10764932704.995022,293875.25296880567,16272502.725990709,15560008.077066775,636163.6520580666,-0.9620936115448594,1190615.3130547106,0.6319538083716976,,-11264619.347646251,-0.1650699015865809,0.29612299672662434
2021-03-27,56067.945548474745,0.0001327301544916,10980530544.540983,294337.2650843073,14569082.442398109,12906882.215728916,1457447.5155766574,-0.9424908207797404,1324031.414315684,0.2613844619694867,,-10785352.613436446,-0.34055317940512686,0.35427914329229004
2021-03-28,55991.20119647779,0.0001840575866177,10722139567.115034,291801.8001847393,15216304.23251587,12000907.028454522,1973491.1321013437,-0.8947783526525908,1648761.2732085139,-0.12489438778012973,,-3860496.7081128806,-0.5098363702163602,0.40328911387389743
2021-03-29,57769.14012066299,0.0006144493132556,11574726771.966532,306346.12979962194,30832889.53369699,24491164.989584956,7112082.916156044,-0.4934161855789295,4380422.094682279,0.044065614461945124,,1771704.7304111272,-0.2246752855584922,0.2021224505781638
2021-03-30,58937.638886814275,0.0010005703053133,12562181265.40715,321698.81412362005,15939124.866954612,12342495.483602785,12569345.544129448,0.1081819403364992,8474883.819405863,0.41476989209583137,,2570516.6065894384,0.2614759162161653,-0.12048168476375898
2021-03-31,58954.49700814971,0.0009885120734839,12566317996.36964,323601.27985994215,40480677.057734445,40290008.43213013,12421957.0586494,0.39815312864210717,10448420.439027632,0.8456008777681843,,1226896.5559656378,0.6218770032051457,-0.3212270109035946
2021-04-01,59118.97407768802,0.0007278243131859,12533616134.007046,322789.8404405024,14630815.291630568,22063330.826211873,9122270.554469394,0.29096386131255403,9785345.496748513,1.0,,8286599.098141346,0.645481930656277,-0.30330787624726296
2021-04-02,59392.14948112517,0.0008398479384302,12974186615.25096,331316.02300168935,18039998.8870834,23064933.28936613,10896343.881627213,0.3737228441133149,10340844.689187862,1.0,,2549170.046934683,0.6868614220566575,-0.33853551683598804
2021-04-03,57642.97095819078,0.0008251144999362,12871627202.33939,341038.6739180507,14250926.20109573,20169224.618226,10620566.242423454,0.39455948215735104,10480705.465805657,1.0,,-5031328.596864779,0.6972797410786755,-0.34740495398047055
2021-04-04,58752.80659415484,0.0003965688646849,12821676090.115068,333743.56613870396,8606267.283053009,11199864.27184263,5084677.53041446,-0.007394102272225922,7782691.498110059,1.0,,-10840322.789715748,0.49630294886388704,-0.17630719605219536
2021-04-05,58898.76589833386,0.0008060914622668,12914437231.34976,333876.0195671926,14178409.66112462,11637267.80631157,10410217.592171533,0.18404418569205472,9096454.545140795,1.0,,-14640905.479014732,0.5920220928460274,-0.2577958632046451
2021-04-06,58243.4539402529,0.0007440479094753,13033789015.086657,342091.6226861445,15490451.17274987,13549455.15439676,9697763.469217356,0.22907269654691875,9397109.007179076,1.0,,-16296538.844013447,0.6145363482734594,-0.2769629450483102
2021-04-07,56219.39629880624,0.0003390534959914,12690147252.653278,346164.2275507859,19034774.84532262,24412616.166123435,4302638.790657754,-0.15242240232709114,6849873.8989184145,1.0,,-21865048.79041858,0.42378879883645443,-0.1145736578110802
2021-04-08,58321.10713544663,0.0002934184268631,12662885701.096146,333451.76000515826,11347784.361859528,10026379.830789162,3715524.001962874,-0.38713554678066453,5282698.950440644,0.9940294557940439,,-13111128.724766908,0.3034469545066897,-0.01359293722739996
2021-04-09,58245.00300108353,0.00022219729245,12614625591.944777,334227.8172417765,8693209.323284581,7610259.095917231,2802935.651800608,-0.57283052674755,4042817.301120626,0.8833632452141194,,-7003244.095116829,0.1552663592332847,0.08531056373761348
2021-04-10,59793.23541009381,0.0010920264262634,13123735731.169271,342670.099665334,33434866.368873022,36986291.15102341,14331466.229734069,0.19762625746769502,9187141.765427347,0.8341908826601185,,-4636370.460136947,0.5159085700639068,-0.23382207156435175
