t,price_usd_close,investor_capitalization,current,liveliness,realized_profit_lth_account_based,realized_loss_lth_account_based,profit_relative,supplyinprofit_percentile_maxmin,aviv_percentile_maxmin,lthrealized_plratio_logpercentile_maxmin,aggregate_indicator_equalweight,aggregate_indicator_PCA
2014-01-01,753.405480556,2906005298.0945024,9195325042.328838,0.4920888090010135,774154.3884387059,12.10685786159158,0.8766882457781875,,,,,0.010291165248782708
2014-01-02,784.280603894,2916228018.025633,9574783719.715376,0.4920338401804508,3304822.8409848204,12.252184414492396,0.8815783843440925,,,,,0.010291165248782708
2014-01-03,807.915916232,2932460360.389285,9866584096.517096,0.4919086408895172,5384084.755956652,1.8811639460218024,0.8851251204109667,,,,,0.010291165248782708
2014-01-04,828.7459845879999,2984553422.7133613,10123890340.48504,0.4925946463302481,5292004.796434749,2.301322534509093,0.9157676724052768,,,,,0.010291165248782708
2014-01-05,904.760075074,3012058539.0574102,11056837460.99947,0.4926847512770967,3883771.4784776047,1.468494641578604,0.9421237036307286,,,,,0.010291165248782708
2014-01-06,917.382725522,3035824821.830372,11118928975.566544,0.4924376963744934,5170649.891002705,2.865220866961516,0.9344886908893508,,,,,0.010291165248782708
2014-01-07,789.593524042,3049605733.9005237,9904144254.627794,0.4922801790996223,4611763.169764403,2.0066104000760316,0.8613653203167361,,,,,0.010291165248782708
2014-01-08,822.864923038,3076145364.5920157,10047570420.744972,0.4924001732105306,1638321.2421884527,2.3782218088862637,0.8744529293726109,,,,,0.010291165248782708
2014-01-09,825.8665006040001,3082866927.69914,10108453018.826311,0.4919942567413898,3368062.6258148146,2.074199738011468,0.8866738646327198,,,,,0.010291165248782708
2014-01-10,854.445450584,3086216882.0040026,10407851863.1725,0.4916007245759405,1638417.8014765806,6.459256685760551,0.9153718988701722,,,,,0.010291165248782708
2014-01-11,893.6831232820001,3111428830.415611,10852292255.10977,0.4921846141934854,11706045.216513384,1.35040515141615,0.9292112610904872,,,,,0.010291165248782708
2014-01-12,843.286613774,3125611432.163542,10334405605.730412,0.4920467812012997,6726705.267708467,4.007036804787361,0.8996564429399727,,,,,0.010291165248782708
2014-01-13,822.530427934,3129190847.29714,10125584748.558474,0.4917979059946126,2582301.7289263867,9.18792466209682,0.8791166345055395,,,,,0.010291165248782708
2014-01-14,815.996819406,3143314112.5527925,10006723874.458548,0.492026528057426,18346285.165133785,8.29496261509332,0.8539875569297799,,,,,0.010291165248782708
2014-01-15,840.1151583520001,3163297975.7242217,10306356172.398254,0.4919003807486974,3441258.9437114354,5.553207145773204,0.9044095580207242,,,,,0.010291165248782708
2014-01-16,814.4962523859999,3175804483.957579,10004821312.845512,0.49178184261765,5631052.920454389,3.989771226953908,0.8439165438547757,,,,,0.010291165248782708
2014-01-17,794.5266687980001,3179275328.4288816,9753780052.329515,0.4915520707658478,1456292.7095721236,7.984109771874778,0.8232742372902044,,,,,0.010291165248782708
2014-01-18,811.37762176,3181371637.263998,9962040459.862968,0.4911862966536885,2597558.3462064452,2.1566651860468107,0.8387372995197047,,,,,0.010291165248782708
2014-01-19,841.4564324119999,3187725903.778845,10337115399.98463,0.491132176311693,4029463.417638321,2.3895967382617447,0.9080181706429228,,,,,0.010291165248782708
2014-01-20,826.696425026,3195091397.9709845,10193486938.740309,0.490824469909888,2781077.480299461,3.5431746586286934,0.8879526854806581,,,,,0.010291165248782708
2014-01-21,824.875769878,3199350687.5931945,10131924777.352757,0.4906141835777475,2092989.82343492,24.359452298486666,0.8739541908742595,,,,,0.010291165248782708
2014-01-22,818.534270204,3209071930.570424,10073253318.7725,0.4905102897295872,6142000.109192671,7.824692540414566,0.8518628053459718,,,,,0.010291165248782708
2014-01-23,810.869203164,3211995358.925493,9976156080.995571,0.4901630422007864,1711754.614531774,6.933778900696312,0.8288317154087733,,,,,0.010291165248782708
2014-01-24,779.3849452420001,3217534626.519699,9636856762.56214,0.4900555472548831,6512957.940577377,23.890100424753307,0.8086672320416798,,,,,0.010291165248782708
2014-01-25,805.652675222,3224018057.2846055,9868392544.819872,0.4898660205271388,3796104.3783562016,4.1411943267540465,0.8233711713929429,,,,,0.010291165248782708
2014-01-26,814.847146534,3227713593.078735,10019771590.012062,0.4895471571471151,1316019.6583344813,10.213398662852134,0.8402417044744512,,,,,0.010291165248782708
2014-01-27,746.678657078,3232390217.824304,9254678432.995958,0.4894748386720485,2457413.6820911127,14.225432616401989,0.7920283357242381,,,,,0.010291165248782708
2014-01-28,785.9504199859999,3235458348.514911,9685966365.988165,0.4892502896973903,2102235.117712757,27.941684761081685,0.8109614030464745,,,,,0.010291165248782708
2014-01-29,794.098192396,3241572794.1563635,9776912694.853338,0.4891660258891358,3311097.627521455,20.920497258780053,0.8156673488901591,,,,,0.010291165248782708
2014-01-30,799.5229998400001,3246293534.3618746,9853320424.135454,0.4889687076199903,2746735.6116307764,12.810424839048132,0.8258637120775583,,,,,0.010291165248782708
2014-01-31,802.998525562,3248588084.9991355,9906343721.57216,0.4885741956786009,1833774.3427283457,20.679847729303795,0.8301149929613222,,,,,0.010291165248782708
2014-02-01,813.159890274,3262328461.3927894,10035262234.128263,0.4884033377884567,2709529.6439076867,12.457175151500536,0.8490342891795953,,,,,0.010291165248782708
2014-02-02,814.932732602,3265183177.826889,10061212326.229353,0.4880551609810742,2250669.4793813415,31.504243586053292,0.8505428156208041,,,,,0.010291165248782708
2014-02-03,808.5,3268392525.0563235,9965413328.101522,0.4876508652340362,1334499.779737028,28.00561264632885,0.8317410028697412,,,,,0.010291165248782708
2014-02-04,801.39173376,3269189771.814693,9901106559.08842,0.4875158822642523,2242585.509685424,9.343296420927787,0.8171586335269877,,,,,0.010291165248782708
2014-02-05,780.917515036,3392145907.8983383,9651429696.528124,0.4989872785247137,52232434.00329307,72.55878443828563,0.7803691627869772,,,,,0.010291165248782708
2014-02-06,762.981093598,3397851180.9176583,9436606713.47845,0.4991479395485372,51179752.138968565,53.19732116344515,0.7666973760332816,,,,,0.010291165248782708
2014-02-07,708.3660443880001,3389683830.781912,8781408592.287584,0.4991461323235487,1634690.1333374328,195.7173423251186,0.7424625801405658,,,,,0.010291165248782708
2014-02-08,679.578138862,3386411350.604524,8407784772.235131,0.4988382472018589,4491636.197821953,216.09582713502377,0.7306155171909341,,,,,0.010291165248782708
2014-02-09,687.314088924,3387203794.6435595,8487898910.114485,0.4986977895688656,1993114.083056507,62.84090449524752,0.7318082208455291,,,,,0.010291165248782708
2014-02-10,688.4182184199999,3382483002.638258,8530708670.302352,0.498712155753479,1543574.7755735673,323.83179678136463,0.7409816905032253,,,,,0.010291165248782708
2014-02-11,675.110840662,3380465489.49642,8458348080.221148,0.4986292963128948,2939973.106582755,91.12076873707426,0.7380071291496137,,,,,0.010291165248782708
2014-02-12,652.543163334,3374732960.9571085,8083681739.370812,0.4985721971716193,2288290.1687790286,110.8601607430416,0.7108566441902919,,,,,0.010291165248782708
2014-02-13,605.83889448,3371611015.573531,7527163551.781174,0.4982754036261129,2204653.86542785,349.58016500623677,0.672337810049507,,,,,0.010291165248782708
2014-02-14,670.0066271759999,3371658986.738993,8304613121.935913,0.4980287919230732,1746683.6414228657,261.5274114470513,0.7448736748072542,,,,,0.010291165248782708
2014-02-15,655.269274756,3370587263.9060726,8126560954.632835,0.4976809193092039,798128.8920762117,280.4268976504758,0.7343249156449703,,,,,0.010291165248782708
2014-02-16,620.641121662,3368275714.028339,7736978073.963858,0.4974398263972079,2584893.3527329634,269.05657969056927,0.6805269069502624,,,,,0.010291165248782708
2014-02-17,632.4809440480001,3366439161.784189,7836008472.49276,0.4971555498279767,812140.866430124,1327.8441063019786,0.6908271310932746,,,,,0.010291165248782708
