t,price_usd_close,mvrv_less_155,sopr_less_155,sth_profit_loss_ratio,sthunrealized_plratio_logpercentile_maxmin,sthmvrvratio_logpercentile_maxmin,sthsoprratio_smapercentile_maxmin,sth_sopr_7sma,aggregate_indicator_equalweight,aggregate_indicator_PCA
2020-01-01,7199.66110087,0.8535522964268163,0.9923043297649146,0.1080229146336583,,,,,,0.0
2020-01-02,6985.65902257,0.8300499275124771,0.9835157711609992,0.0198155725412996,,,,,,0.0
2020-01-03,7347.59737791,0.8732651855734331,1.0012598064339566,0.4025979893682944,,,,,,0.0
2020-01-04,7415.20244546,0.8815260610311944,0.9870625917202336,0.4830457197226848,,,,,,0.0
2020-01-05,7410.81254092,0.882241700559663,1.005048472913508,0.4694261534003353,,,,,,0.0
2020-01-06,7770.52843473,0.9256075309916476,1.0091156748883778,0.7360658155765532,,,,,,0.0
2020-01-07,8166.96310003,0.976261395474917,1.0224631886060134,0.9876722248262316,,,,1.0001099764982861,,0.0
2020-01-08,8082.95054727,0.9692840773057428,1.0267339255856145,0.8786927676744918,,,,1.0050284901869575,,0.0
2020-01-09,7880.28824913,0.946632361941386,1.0124653185099306,0.6843524685562554,,,,1.0091641398082334,,0.0
2020-01-10,8164.65571526,0.9808335494832368,1.0034530578285572,1.0034485683911814,,,,1.0094774614360336,,0.0
2020-01-11,8029.64210795,0.9672487333616302,1.0103947420234662,0.8593063293841802,,,,1.0128106257650669,,0.0
2020-01-12,8185.64036985,0.9863331758498474,1.0122097267249053,1.0833245643755671,,,,1.013833662023838,,0.0
2020-01-13,8148.31886082,0.9816955600734278,1.0092827002113491,1.0098776272001069,,,,1.0138575227842623,,0.0
2020-01-14,8827.76442606,1.052969208506188,1.071530144936523,2.110826454700119,,,,1.0208670879743351,,0.0
2020-01-15,8807.01027532,1.0481451503700137,1.031651287735,2.086855473165921,,,,1.0215695682813901,,0.0
2020-01-16,8723.78576573,1.0368108930445294,1.01086674356108,1.8260476058144333,,,,1.0213412004315545,,0.0
2020-01-17,8929.0376776,1.059322199228897,1.0198752245386402,2.3215746777727047,,,,1.0236872242472805,,0.0
2020-01-18,8942.80890321,1.0614085113210938,1.017569582021224,2.416788232321628,,,,1.0247122013898173,,0.0
2020-01-19,8706.24512993,1.0338677129264526,0.9985603970849886,1.6529724134142434,,,,1.0227622971555435,,0.0
2020-01-20,8657.64293942,1.0282649837291655,0.9978428858285118,1.4596977577529855,,,,1.0211280379579954,,0.0
2020-01-21,8745.89478833,1.0386425781059336,1.006211044995648,1.9208762555831096,,,,1.0117967379664417,,0.0
2020-01-22,8680.87604222,1.0312613965333786,1.0052310351478744,1.6972282211452177,,,,1.008022416168281,,0.0
2020-01-23,8406.5160678,0.997392887226267,0.9954250908834708,1.0275031451161067,,,,1.0058164657857653,,0.0
2020-01-24,8445.43428152,1.0048614621801302,0.999886083542189,1.0989592071568806,,,,1.002960874214844,,0.0
2020-01-25,8367.84777344,0.9963718522397732,0.99605297104907,1.004472080933856,,,,0.9998870726473932,,0.0
2020-01-26,8596.82983316,1.0238982908718832,1.00371670325146,1.5045304606948982,,,,1.000623687814032,,0.0
2020-01-27,8909.81917753,1.0617351958169148,1.0179088085086694,2.862723623989599,,,,1.0034902481969117,,0.0
2020-01-28,9358.59031703,1.1055026983732232,1.025305470569177,5.5897168985011545,,,,1.0062180232788445,,0.0
2020-01-29,9316.62950445,1.106394016020815,1.031184116459066,5.360911896755027,,,,1.0099256063233002,,0.0
2020-01-30,9508.9935947,1.120675795392952,1.039395418368002,7.195007813241883,,,,1.0162070816782334,,0.0
2020-01-31,9350.52936518,1.100756662810988,1.0368545439133168,5.773282057255328,,,,1.0214882903026803,,0.0
2020-02-01,9392.87536841,1.1034752145173654,1.0160068679634735,7.099275569395807,,,,1.0243388470047379,,0.0
2020-02-02,9344.36529292,1.0978026112510166,1.0147191879178907,5.232222341669562,,,,1.0259106305285137,,0.0
2020-02-03,9293.52108908,1.0881576489093912,1.0055351112388846,3.675867717432163,,,,1.024142959489973,,0.0
2020-02-04,9180.9629665,1.0749864333052903,1.0058024292944203,2.3062859366731625,,,,1.0213568107364364,,0.0
2020-02-05,9613.42428895,1.124149128700115,1.023221444420504,10.564670798750452,,,,1.020219286159499,,0.0
