t,price_usd_close,volume_sum,active_count,transfers_volume_entity_adjusted_sum,fee_ema_percentile,fee_upper,fee_lower,volume_sma_zscore,volume_upper,volume_lower,address_sma_meandev,address_upper,address_lower
2020-03-11,7912.81530473,231841.8516324444,717216,1601475277.1401508,207360.5835266835,,,1820057902.8451583,,,752344.8571428572,,
2020-03-12,4860.35383012,380543.2325084105,917471,3014116973.238535,250656.2458158529,,,1931840695.9298527,,,770497.0,,
2020-03-13,5547.0651614,447530.3947265099,781820,3262538221.044357,299874.7830808079,,,2101350829.1585038,,,766985.5714285715,,
2020-03-14,5195.85517452,286799.6731288394,765687,1364581896.5038657,296606.00559095835,,,2107475142.8838184,,,779159.2857142857,,
2020-03-15,5391.06024919,236466.1240517648,643413,996670421.8765248,281571.0351997523,,,2089022998.874701,,,779076.2857142857,,
2020-03-16,5014.86830377,307499.688103345,729759,2220590327.340275,288053.1984277224,,,2088447438.2230132,,,767225.1428571428,,
2020-03-17,5237.76209482,324862.98095896025,759832,1781802775.84804,297255.64406273793,,,2034539413.2845356,,,759314.0,,
2020-03-18,5237.91386092,305856.51716614555,629262,1671337470.1458943,299405.86233897647,,,2044519726.5710702,,,746749.1428571428,,
2020-03-19,6193.29577035,390362.55262695,713003,1801745138.899608,322145.03491403616,,,1871323750.236938,,,717539.4285714285,,
2020-03-20,6186.21871982,509258.5481049043,735358,2064930524.3595548,368923.4132164841,,,1700236936.4248233,,,710902.0,,
2020-03-21,6172.9672775,290538.1038924806,659064,966497431.3291396,349327.0858839968,,,1643367727.114148,,,695670.1428571428,,
2020-03-22,5833.51061024,204089.8846433338,553438,644312919.3281404,313017.7855717655,,,1593030941.0358074,,,682816.5714285715,,
2020-03-23,6431.81003808,315578.3634233056,681608,1422866464.945963,313657.93003467785,,,1479070389.2651916,,,675937.8571428572,,
2020-03-24,6732.65221467,296710.9781664437,732064,1659644686.912378,309421.19206748373,,,1461619233.7029538,,,671971.0,,
2020-03-25,6677.07432527,301910.43628171855,591886,1580399646.411687,307543.5031209974,,,1448628116.0266385,,,666631.5714285715,,
2020-03-26,6718.96731486,366752.4626535792,882424,1420433304.833594,322345.74300440925,,,1394154996.874351,,,690834.5714285715,,
2020-03-27,6470.89335934,277860.5801390389,839420,1582671600.071853,311224.4522879165,,,1325260864.8332508,,,705700.5714285715,,
2020-03-28,6241.56512496,179886.06035044938,625437,1001625347.3379396,278389.85430321726,,,1330279138.5487936,,,700896.7142857143,,
2020-03-29,5929.677884,129211.31134228644,579529,882988173.5831552,241095.21856270134,,,1364375603.4423673,,,704624.0,,
2020-03-30,6447.72579951,164962.4190064701,777776,1378046674.4501743,222062.01867353515,314932.7440555347,106294.37272565467,1357972776.228683,,,718362.2857142857,,
2020-03-31,6443.31405026,187541.89707306604,821826,1324820402.737944,213431.988273381,314932.7440555347,122775.1622170067,1310140735.6323354,,,731185.4285714285,,
2020-04-01,6589.24919192,168782.08327236288,808466,1260943973.4141996,202269.5120230907,314932.7440555347,136623.339958889,1264504210.9184086,,,762125.4285714285,,
2020-04-02,6795.04299179,168243.74913753613,803862,1665635095.053964,193763.07130168163,314932.7440555347,141417.00593074624,1299533038.092747,,,750902.2857142857,,
2020-04-03,6736.36381431,176275.62245771167,754391,1424767968.7821393,189391.20909068125,314932.7440555347,146831.16260430415,1276975376.4799309,,,738755.2857142857,,
2020-04-04,6858.69700969,112811.80223895454,655944,806141334.350536,170246.3573777237,314932.7440555347,154497.21662844898,1249049088.9103017,,,743113.4285714285,,
2020-04-05,6794.47452422,92781.36379617856,596650,776133421.501551,150880.1089823178,314932.7440555347,155107.30213418457,1233784124.3272154,,,745559.2857142857,,
2020-04-06,7248.72410192,149145.1008135225,771478,1783497598.3182766,150446.35694011863,314932.7440555347,155107.30213418457,1291705684.8798015,,,744659.5714285715,,
2020-04-07,7172.87828873,185163.7620055148,945739,1809659751.673088,159125.70820647263,314932.7440555347,154590.62863318747,1360968449.0133934,,,762361.4285714285,,
2020-04-08,7335.36979909,165042.2292938434,776631,1508316993.8121312,160604.83847831597,314932.7440555347,154590.62863318747,1396307451.9273837,,,757813.5714285715,,
