t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,long_interest,preplongsideinterest_ema_maxmin,prep_long_interest_3ema,futureopeninterest_sma_maxmin,perp_cvd_bias_sum,perp_cvd_sum7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2021-02-01,33543.85974350085,0.00039245020487,5252466325.278275,308730.36540846364,8108402.713018021,8370766.64801261,2061331.485428235,,2061331.485428235,,,,,0.0
2021-02-02,35524.119952273206,0.0007421561105729,5605335498.332977,310972.90547563427,14327414.338602211,14478526.43258182,4160033.9918990107,,3110682.738663623,,,,,0.0
2021-02-03,37451.367472916325,0.0005546652836465,5891505670.162339,310733.90694941726,9793920.50399078,10174200.942845002,3267813.663645557,,3189248.20115459,,,,,0.0
2021-02-04,36924.74200585988,0.0003676658011088,5871103371.928092,316737.63168333785,9234960.1822862,6752342.70656343,2158603.924632519,,2673926.0628935546,,,,,0.0
2021-02-05,38123.15354014715,0.0005409996707296,6293088427.787264,324206.846506399,9505087.845134802,8757706.0505026,3404558.767305166,,3039242.41509936,,,,,0.0
2021-02-06,39271.99676818323,0.000916488607471,6918776346.00306,336625.3298847105,11892784.56310513,11276738.47113575,6340979.698751638,,4690111.056925499,,,,,0.0
2021-02-07,38904.21414938871,0.0007331020243235,6869863610.267758,335597.0597253515,11886590.051326958,17641950.01751772,5036310.919513642,,4863210.98821957,,,-2703071.0716948286,,0.0
2021-02-08,45981.86458968448,0.0013793857113616,8056374873.573976,329339.0614601758,31495506.251456343,29320571.79132414,11112848.385980558,,7988029.687100064,,,-265772.67656803504,,0.0
2021-02-09,46506.134809077426,0.001212667928653,8004353473.474082,326809.2553100516,16533791.55025686,17610091.19688166,9706622.74688426,,8847326.216992162,,,-1190960.2292132266,,0.0
2021-02-10,44886.381099679624,0.0009013980336291,7896350294.613054,337322.74936780706,7676991.36905954,19183665.487597167,7117754.6284107715,,7982540.422701467,,,-12317353.908896632,,0.0
2021-02-11,47812.53533389692,0.0011122844661688,8606099217.305254,338484.3785868435,17088555.021176238,17931754.35644186,9572430.473716103,,8777485.448208785,,,-15643170.719885023,,0.0
2021-02-12,47482.86135240913,0.0009879646363217,8400160061.639797,337477.65308589366,22490598.124821827,23663125.0593149,8299061.080342031,,8538273.264275407,,,-17563079.449010298,,0.0
2021-02-13,47067.93913526245,0.0006313532674334,8398563300.605909,340578.2450675513,12642292.71992064,12911226.46240857,5302460.381583782,,6920366.822929595,,,-18448059.283467606,,0.0
2021-02-14,48747.45244155483,0.0015304452100068,9041561646.730965,348600.55921119475,17924863.66865726,20058551.31361089,13837614.7132206,,10378990.768075097,,,-14826386.962230477,,0.0
2021-02-15,47984.954753679056,0.0009186290135038,8640049364.951727,342498.80313367257,32522393.59953633,26076460.663407423,7937000.024749738,,9157995.396412417,,,-10555388.486233775,,0.0
2021-02-16,49175.90051592181,0.0011595811622245,9045375212.288282,347218.63106584,35977630.12725246,33973878.036913045,10488846.70142193,,9823421.048917174,,,-7475336.74926956,,0.0
2021-02-17,52138.04498768492,0.0016658442970921,9859529952.036324,354800.43343952234,41609780.373872995,28462930.2475096,16424441.742608456,,13123931.395762816,,,17178187.495631464,,0.0
2021-02-18,51649.57543629381,0.0011372818912944,9584962834.776537,351932.07690249715,35806105.9295373,33229955.51143851,10900804.660721194,,12012368.028242005,,,20597537.24899587,,0.0
2021-02-19,55776.18881251338,0.0011238853096956,9846195213.40439,337113.05201814824,42676185.65849843,21343148.42958726,11065994.156740326,,11539181.092491165,,,43103101.41240011,,0.0
2021-02-20,56134.54415202914,0.0007361989554275,9518905936.019695,324600.93659769435,36516910.88091173,42902880.23809376,7007808.606910328,,9273494.849700747,,,36986065.79770601,,0.0
2021-02-21,57487.03807408455,0.0011251449186282,10040774167.465328,329240.0859516509,20631043.31061875,24940175.642845247,11297326.03361691,,10285410.441658828,,,34810621.11043315,,0.0
2021-02-22,54092.68879988714,0.0005238324878802,8793846890.38348,319119.5992421034,56726863.26953381,70526673.41131277,4606502.694627139,,7445956.568142984,,,14564878.032525275,,0.0
2021-02-23,48548.9572135791,0.0002455616191397,7738569049.46228,325189.3773794323,39399008.98972301,53770905.97319048,1900295.5456103268,,4673126.056876656,,,-1810771.041281607,,0.0
2021-02-24,49652.01003172871,0.0001108144568569,7921594659.453652,320711.2831347507,33797822.30739235,23660300.22165171,877827.2096278762,,2775476.633252266,,,-4820099.081904363,,0.0
2021-02-25,47209.54406873051,0.0001833711624747,7991225716.467655,331224.58964379446,22821746.18545078,19302714.91685545,1465360.3492263914,,2120418.491239329,,,-3877218.2314078175,,0.0
2021-02-26,46243.95205410501,0.0002118348522293,7477418592.067429,321258.9214002058,22635268.232886493,25826076.175172873,1583977.8625072243,,1852198.1768732765,,,-28401063.402605366,,0.0
2021-02-27,46319.69639361085,6.97497454655e-05,7595992032.407035,324805.13875448046,10210422.01071786,16605730.26131512,529818.5108183566,,1191008.3438458166,,,-28410402.296020593,,0.0
