t,price_usd_close,investor_capitalization,current,liveliness,realized_profit_lth_account_based,realized_loss_lth_account_based,profit_relative,supplyinprofit_percentile_maxmin,aviv_percentile_maxmin,aviv,lthrealized_plratio_logpercentile_maxmin,lth_realized_pl_ema7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2014-02-14,670.0066271759999,3371658986.738993,8304613121.935913,0.4980287919230732,1746683.877984024,275.3731318753352,0.7448736748072542,,,1.2266769731972351,,60133.68385916443,,0.04379978535843776
2014-02-15,655.269274756,3370587263.9060726,8126560954.632835,0.4976809193092039,798130.1409746942,284.063534576294,0.7343249156449703,,,1.1999197795689103,,45802.68510263491,,0.04379978535843776
2014-02-16,620.641121662,3368275714.028339,7736978073.963858,0.4974398263972079,2584895.595296707,271.84149203827803,0.6805269069502624,,,1.1426264821262802,,36729.22230232247,,0.04379978535843776
2014-02-17,632.4809440480001,3366439161.784189,7836008472.49276,0.4971555498279767,813386.4109019415,1332.9331984099283,0.6908271310932746,,,1.1572212992359916,,27699.472460943733,,0.04379978535843776
2014-02-18,629.1273936299999,3366385632.837896,7784305202.306127,0.4974080486039634,2097757.795119477,861.2553885221287,0.6842773086349179,,,1.15018791152357,,21383.52877830819,,0.04379978535843776
2014-02-19,624.838114922,3358883351.951545,7762152245.84242,0.4970042321030644,634898.3186081054,243.14030399298696,0.6808146974392494,,,1.1485431651475944,,16690.45723274886,,0.04379978535843776
2014-02-20,562.5895875420001,3355664454.80837,6985448856.343014,0.4969982013802828,2954641.689864199,1309.632666611956,0.6588116353954585,,,1.0345955515491763,,13081.863998025687,,0.04379978535843776
2014-02-21,581.290525096,3353198953.57692,7148359736.859704,0.4968276271286811,2772576.9646482454,514.6479757804913,0.66614395408455,,,1.0591386479283478,,11158.22976271861,,0.04379978535843776
2014-02-22,611.552214376,3350179772.138977,7603086091.20012,0.4963981243303859,422036.9815213616,246.32268849294852,0.6822909221157765,,,1.1265537766603229,,8797.00982527858,,0.04379978535843776
2014-02-23,608.198850544,3350891250.9023986,7563934827.424551,0.4961746775055408,1455321.8128870924,336.76900642148144,0.6764574338123575,,,1.1200103622162043,,7678.11347740207,,0.04379978535843776
2014-02-24,536.8594994299999,3333031664.741977,6788685993.183813,0.4961632495176851,4127267.0468185567,2303.606091822347,0.6563137532070673,,,1.0105804088104955,,6206.498822712893,,0.04379978535843776
2014-02-25,536.2111523420001,3290807812.522168,6706490420.681057,0.4968166506378796,3870434.7145198826,9418.256960906712,0.6704536327418211,,,1.0124857780084482,,4757.61167055931,,0.04379978535843776
2014-02-26,585.5174387139999,3294595573.497707,7289715416.936976,0.4964876863962169,1353401.9838153096,713.6181586156041,0.6927393432756491,,,1.0985427076257168,,4042.342562252777,,0.04379978535843776
2014-02-27,583.057392048,3291257182.944592,7293173413.347506,0.4961816820123533,2344879.36230507,282.2996957674989,0.695218329660217,,,1.0995005404606395,,5108.343787936425,,0.04379978535843776
2014-02-28,551.4270378320001,3298735832.538462,6856827133.705843,0.4966043506780942,12570073.036125569,5327.211713612679,0.6615761917852828,,,1.0322530688447376,,4421.157103074994,,0.04379978535843776
2014-03-01,566.7533114280001,3293184930.1150093,7063355727.756911,0.4971723405414135,4035250.207384024,1309.4405845705833,0.6726543009500826,,,1.066355268157644,,4086.282738630255,,0.04379978535843776
2014-03-02,563.2946821140001,3289485723.6671324,6912606850.369088,0.4971630454848171,2553879.389120333,5314.741353054123,0.660908162598273,,,1.0447507491041688,,3184.84392961198,,0.04379978535843776
2014-03-03,676.820067156,3294482214.5575533,8439973176.438686,0.4973554020109307,3103603.5057552527,1419.5052905417367,0.8029418989208763,,,1.2741505276855407,,2935.2324432508067,,0.04379978535843776
2014-03-04,673.387906086,3299657119.489466,8399682361.238011,0.4973206446395591,2307058.7281464944,166.64318091977287,0.7942050797264922,,,1.265990766732985,,5662.500140360276,,0.04379978535843776
2014-03-05,670.1076203939999,3304049849.4660544,8367116265.605069,0.4974428969826515,8285154.29860868,374.0305266856472,0.8004278397274197,,,1.25971542324819,,9784.627847021628,,0.04379978535843776
2014-03-06,669.219942962,3309478002.787324,8353196503.555388,0.4972403205757806,2707121.867260369,222.33684934292964,0.7997647378193459,,,1.2550456911217274,,10382.412853568714,,0.04379978535843776
2014-03-07,632.308556588,3435397517.5995226,7895093035.755769,0.5105839213117326,2053551.1191842137,4928.257967759263,0.7200053016718322,,,1.173403526277757,,7890.981902090309,,0.04379978535843776
2014-03-08,620.6247192339999,3436901629.5145235,7754582969.904387,0.5103639143666778,676413.6048441025,639.4572065287739,0.6939595073263014,,,1.1515195211917126,,6182.684773516522,,0.04379978535843776
2014-03-09,638.418612898,3509261091.9959083,7996681473.479571,0.5179332947934399,2313507.998472562,305.7522456020265,0.7393331204428278,,,1.1802335233532868,,6528.666079628656,,0.04379978535843776
2014-03-10,629.382,3519774834.0716324,7866355977.858623,0.5187049483257482,9484365.408834156,1135.5471368095034,0.7147897932861531,,,1.1592553397192842,,6984.560262221688,,0.04379978535843776
2014-03-11,635.03872797,3522770735.816315,7927263962.734691,0.5186432778864515,2908638.5205817265,383.4103066664813,0.7225172772332288,,,1.1670989895830222,,7134.977533550715,,0.04379978535843776
2014-03-12,633.854888054,3533050105.2377687,7927806777.503301,0.518694711129026,6893501.640272845,4056.9585686345513,0.709239382032926,,,1.1638984231351768,,5776.0280749601725,,0.04379978535843776
2014-03-13,641.6025862160001,3535986389.5229435,8027307974.19045,0.5185036089541407,1816537.7737904869,2598.238611389509,0.7362302539930057,,,1.1770939410673582,,4506.80655954415,,0.04379978535843776
2014-03-14,629.8350340720001,3534597681.041986,7882174332.163732,0.5182702231108559,1395253.500460876,915.5658075073094,0.6948223056309162,,,1.155745750538966,,3761.0861361420343,,0.04379978535843776
2014-03-15,637.415090218,3533146349.7341385,7949556712.366035,0.5178962522999768,1126116.169679841,482.2649498290244,0.7304098901313533,,,1.165263258650549,,3404.5788638878757,,0.04379978535843776
2014-03-16,634.8101052919999,3533794361.1258483,7951825409.408541,0.5175280562879326,1113100.3442450948,1745.355288321224,0.7321289347606476,,,1.164553544298793,,2712.871649221978,,0.04379978535843776
2014-03-17,622.84479101,3533775917.651287,7816687523.733926,0.5172679622232883,2101444.149425668,838.4482340737562,0.6733985583347208,,,1.1441931013626438,,2661.241063368175,,0.04379978535843776
2014-03-18,614.438939238,3535708769.192177,7666860319.434885,0.5172810247849614,3584834.759190474,2381.3928848727846,0.6590051329098281,,,1.121676478978372,,2372.2688203238667,,0.04379978535843776
2014-03-19,611.19495134,3535738183.351449,7661169683.53354,0.5173142638373104,2761933.6934391167,1294.0029155306893,0.6622284983555216,,,1.1209066252788016,,2312.804295014763,,0.04379978535843776
2014-03-20,586.953250296,3532365176.385962,7341558656.928227,0.5172941650962439,2874391.2451798143,31999.287651103743,0.6453380518129962,,,1.0751282119212668,,1757.0599027700484,,0.04379978535843776
2014-03-21,570.012095636,3546280306.959027,7183450270.345208,0.5179838909129363,14535453.195336884,3435.080915398535,0.6280348123844527,,,1.0492434887087976,,2375.6632534230957,,0.04379978535843776
2014-03-22,564.545464148,3545580726.7364364,7076565723.411577,0.5178624565020615,2465857.044517198,1625.7603684418389,0.6228731272975856,,,1.033593081519654,,2160.932634328227,,0.04379978535843776
2014-03-23,559.690294744,3544452706.491046,7037141482.524676,0.517328774539863,918713.3749532736,1036.8707726138157,0.6178016844604958,,,1.0271023711929228,,1842.2105355664112,,0.04379978535843776
2014-03-24,584.911571278,3544547974.153309,7345386661.309723,0.5170607783647718,3147939.4665203257,9612.237083473685,0.6572140523259958,,,1.0715079531105105,,1463.5311284581076,,0.04379978535843776
2014-03-25,583.845073968,3547489260.841408,7353034118.519103,0.5169276041515618,1107934.523370804,2410.092451421995,0.6622003548352653,,,1.0714581583339982,,1212.5749047331876,,0.04379978535843776
2014-03-26,579.087233466,3547949643.3368645,7288748193.112623,0.51666708639329,2284035.810024628,6062.964462241757,0.6522850177605511,,,1.0614176273505531,,1003.6110069262934,,0.04379978535843776
2014-03-27,472.14433733800007,3543975102.376993,5935014756.076006,0.5166358321642406,2014589.6937680775,5697.597863741627,0.5901413618743857,,,0.8651983151224182,,841.1047049770276,,0.04379978535843776
