t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,pricemomentum_sma_maxmin,pricemomentum_upper,pricemomentum_lower,spotcvd_sma_maxmin,spotcvd_upper,spotcvd_lower,spotvolume_sma_maxmin,spotvolume_upper,spotvolume_lower
2020-01-01,7199.66110087,7219290.588499926,227849188.2905193,,,,,,,,,
2020-01-02,6985.65902257,-13084959.232476892,500328558.1682622,,,,,,,,,
2020-01-03,7347.59737791,45064023.69896063,990109636.9612652,31.4215094304557,,,,,,,,
2020-01-04,7415.20244546,21955883.65199181,428102825.70191246,64.79470698181126,,,,,,,,
2020-01-05,7410.81254092,182606.14689466948,709728425.2631902,66.52028436674982,,,,,,,,
2020-01-06,7770.52843473,88019529.8164543,1490708516.9614594,72.31040239193858,,,,,,,,
2020-01-07,8166.96310003,139559984.2018994,2549761930.707382,81.38629948533634,,,41273765.55317484,,,985227011.7219988,,
2020-01-08,8082.95054727,-108133139.40422526,3228022002.6121,82.06221390521333,,,24794846.982785527,,,1413823128.0536532,,
2020-01-09,7880.28824913,-13403338.996775923,1599486447.267293,74.90314829172007,,,24749364.159314234,,,1570845683.6392288,,
2020-01-10,8164.65571526,61250396.84158714,1782327146.6855247,72.2782466410552,,,27061703.17968945,,,1684019613.5998375,,
2020-01-11,8029.64210795,19767608.517375864,1171690071.7184331,72.04756528749752,,,26749092.446172886,,,1790246363.0307689,,
2020-01-12,8185.64036985,23982644.81759773,746208090.4370435,70.71053493796273,,,30149097.970559034,,,1795457743.769891,,
2020-01-13,8148.31886082,1155027.1889810534,729993541.1255012,71.17329918845228,,,17739883.30949143,,,1686784175.7933254,,
2020-01-14,8827.76442606,136140127.29832628,3073980745.6944413,73.94127409372827,,,17251332.323266696,,,1761672577.9343338,,
2020-01-15,8807.01027532,20674329.05209278,1975486787.6301053,77.02352175508818,,,35652399.24559785,,,1582738975.794049,,
2020-01-16,8723.78576573,9572898.967658533,1228211765.0346663,78.50352766485861,,,38934718.95480277,,,1529699735.4751022,,
2020-01-17,8929.0376776,68455178.39146931,1758421576.4072614,79.68092488381177,,,39963973.46192879,,,1526284654.006779,,
2020-01-18,8942.80890321,14730246.055373115,914897720.4548016,78.90010396816996,,,39244350.253071256,,,1489600032.3976886,,
2020-01-19,8706.24512993,-53776710.01760728,1822996508.2699733,75.53305571066647,,,28135870.990899112,,,1643426949.2309644,,
2020-01-20,8657.64293942,2919851.868753929,859377734.5693485,69.77327663691949,,,28387988.802295234,,,1661910405.437228,,
2020-01-21,8745.89478833,14638735.892794678,796392097.3663464,64.94589199796454,,,11030647.172933577,,,1336540598.5332146,,
2020-01-22,8680.87604222,14275928.43544599,658931969.8248602,62.98643503667249,,,10116589.941984037,,,1148461338.846751,,
2020-01-23,8406.5160678,-42944983.353080206,1128822810.49729,62.27642793821809,,,2614035.3247356447,,,1134262916.769983,,
2020-01-24,8445.43428152,10594352.027508851,883908043.5727966,59.02190445183591,,,-5651797.012972994,,,1009332412.0793451,,
2020-01-25,8367.84777344,14817117.280499972,500530263.2378025,57.545935952913965,,,-5639386.83795487,,,950137061.0483453,,
2020-01-26,8596.82983316,49337541.9862634,661336349.8371646,59.07489481663579,,,9091220.591169512,,,784185609.8436583,,
2020-01-27,8909.81917753,85418595.23530114,1213902829.5338552,62.91977239049084,,,20876755.357819114,,,834832051.9814451,,
2020-01-28,9358.59031703,83815015.26909256,1710740513.0935147,64.21253928780257,,,30759080.98300453,,,965453254.2281834,,
2020-01-29,9316.62950445,2027275.3930280565,1278697966.5636685,62.07920589996421,,,29009273.40551625,,,1053991253.7622988,,
2020-01-30,9508.9935947,34831303.06842333,1329904816.5448902,64.5215430003818,,,40120171.46573104,,,1082717254.626242,,
2020-01-31,9350.52936518,-15099610.93106611,1075024075.2208824,63.36721094314487,,,36449605.32879176,,,1110019544.8616827,,
2020-02-01,9392.87536841,21133321.059574764,623682450.6783662,59.72170420049915,,,37351920.15437388,,,1127612714.4960487,,
2020-02-02,9344.36529292,12929785.138926584,1022632734.8957644,62.70673759164259,,,32150812.033325758,,,1179226483.7901344,,
2020-02-03,9293.52108908,27307596.25610314,1256680594.5024362,65.39951911398768,,,23849240.75058319,,,1185337593.0713603,,
2020-02-04,9180.9629665,-50812659.92347785,1132757204.9233391,62.87706968829181,,,4616715.723073127,,,1102768549.0470495,,
2020-02-05,9613.42428895,121400595.16143042,1528020764.7058823,64.66785219239503,,,21670047.118559178,,,1138386091.6387944,,
2020-02-06,9729.80223149,14061256.765407303,1526412693.5977943,73.8367908794549,,,18702897.646699745,,,1166458645.503495,,
2020-02-07,9790.33384641,23702468.29990745,1032594850.2584232,78.82682889369971,,,24246051.82255311,,,1160397327.651715,,
2020-02-08,9866.50724373,36564727.4860468,1028158013.122913,80.58902736367546,,,26450538.45490626,,,1218179550.858079,,
2020-02-09,10119.1248203,74980933.80946736,1206689090.1466317,82.34170690535734,,,35314988.26498351,,,1244473315.893917,,
2020-02-10,9865.59260896,-64101295.68227115,1524195861.1443892,76.66108916266623,,,22256575.130930044,,,1282689782.557053,,
2020-02-11,10205.1323621,36890600.976378925,1655840895.0574934,70.16126362700982,,,34785612.402338155,,,1357416024.0047896,,
2020-02-12,10322.7164894,53786097.136786096,1616639030.1964087,70.87508873041448,,,25126398.39881754,,,1370075776.217722,,
2020-02-13,10205.6192109,-30949166.76474075,2192357956.0673766,69.15319888701362,,,18696337.894510675,,,1465210813.7133768,,
2020-02-14,10300.0506266,44176540.659727104,1335365368.0396278,69.21957256546656,,,21621205.374484908,,,1508463744.8249774,,
2020-02-15,9891.83650918,-86976819.9518734,1573288864.3428006,66.25464261663012,,,3972412.8833534503,,,1586339580.7135327,,
2020-02-16,9943.25998095,-21031382.206956346,1452606360.6613698,61.057902690176945,,,-9743632.261849938,,,1621470619.3584952,,
2020-02-17,9686.04920977,-12354958.634115413,1889685397.1273415,59.6773776362957,,,-2351298.3978276895,,,1673683410.2132027,,
2020-02-18,10147.0726363,71564589.97536612,1881811428.998338,61.59800536826451,,,2602128.6020276225,,,1705964915.061895,,
2020-02-19,9635.05008713,-109673611.51597084,1851689567.904712,58.12304671896204,,,-20749258.348366227,,,1739543563.305938,,
2020-02-20,9618.25906453,-11432287.00774432,1562335116.495913,49.249483550925596,,,-17961132.668795306,,,1649540300.5100148,,
2020-02-21,9690.95528682,82798529.97577307,1186274138.5706966,48.2562180838912,,,-12443705.623645881,,,1628241553.4430244,,
2020-02-22,9660.91488832,39212080.90490556,717852367.2697562,47.457815003867296,,,5583280.213036827,,,1506036339.5754468,,
2020-02-23,9920.86796684,76636604.18440513,1193558018.8544056,46.62087175956125,,,19535849.697517037,,,1469029433.6030235,,
2020-02-24,9645.39833042,-15654107.324141448,1702781110.78214,46.51646465046005,,,19064542.741799034,,,1442328821.2679944,,
2020-02-25,9346.53346695,-34326548.69422773,1567064838.3519611,40.95286440996276,,,3937237.2175713396,,,1397365022.6042266,,
2020-02-26,8824.33122732,-240362137.7544563,2582319621.6283045,31.688468095048812,,,-14732552.24506944,,,1501740744.5647395,,
2020-02-27,8786.87893969,-45425470.563345045,1946986771.7849524,28.153652836649513,,,-19588721.324440975,,,1556690981.0346024,,
2020-02-28,8689.11524591,17177904.082955927,1576571383.8588622,27.044896245449543,,,-28963096.45198628,,,1612447730.361483,,
2020-02-29,8615.22772355,27653671.2633345,798238631.6242,27.042661980361522,,,-30614297.82935357,,,1623931482.4121182,,
2020-03-01,8563.41168611,-15552677.322127163,1669086719.8809571,27.616679049481498,,,-43784195.187429614,,,1691864153.9873395,,
2020-03-02,8865.83955705,45998344.3979943,1622944323.8872223,31.567209929504894,,,-34976702.08426737,,,1680458898.716637,,
2020-03-03,8792.35171065,-50762965.94979266,1551292664.0826485,30.29036230305333,,,-37324761.69220521,,,1678205730.9638782,,
2020-03-04,8742.61166128,-40231639.30613127,1078360854.1309018,26.78051819892606,,,-8734690.485301634,,,1463354478.4642491,,
